ToolSerialNumber,ParameterSetId,DateOfScrewings,DailyAverageTorqueDelta,DailyAverageAngleDelta
"B5582642      ",3,2022-04-19,0.1060812086874409820585457979,-7.9150141643059490084985835694
"F3660289      ",37,2022-04-19,-0.1275942028985507246376811594,-61.40289855072463768115942029
"F3660289      ",14,2022-04-19,0.02619647355163727959697733,-4852.3564231738035264483627204
"F3660289      ",15,2022-04-19,0.0338167938931297709923664122,-4961.2137404580152671755725191
"F3660289      ",15,2022-04-20,0.0348984771573604060913705584,-4967.8705583756345177664974619
"B5582642      ",3,2022-04-20,0.245553470919324577861163227,-7.402751719824890556597873671
"F3660289      ",37,2022-04-20,-0.0892145593869731800766283525,-55.289272030651340996168582375
"F3660289      ",14,2022-04-20,0.0336057287278854254422914912,-4861.4035383319292333614153328
"B5582642      ",3,2022-04-21,0.2031426775612822124450031427,-8.082966687617850408548082967
"F3660289      ",37,2022-04-21,-0.0944081632653061224489795918,-68.793877551020408163265306122
"F3660289      ",14,2022-04-21,0.0267652027027027027027027027,-4875.8555743243243243243243243
"F3660289      ",15,2022-04-21,0.0225954198473282442748091603,-4971.9185750636132315521628499
"F3660289      ",14,2022-04-22,0.033015873015873015873015873,-4873.5371762740183792815371763
"F3660289      ",15,2022-04-22,0.0283417085427135678391959799,-4973.5427135678391959798994975
"B5582642      ",3,2022-04-22,0.0710912453760789149198520345,-7.8970406905055487053020961776
"F3660289      ",37,2022-04-22,-0.1322627737226277372262773723,-64.233576642335766423357664234
"B5582642      ",3,2022-04-23,0.3102,-7.4775
"F3660289      ",37,2022-04-23,-0.163064516129032258064516129,-49.701612903225806451612903226
"F3660289      ",14,2022-04-23,0.0436769759450171821305841924,-4902.0412371134020618556701031
"F3660289      ",14,2022-04-25,0.0100419463087248322147651007,-4873.2709731543624161073825503
"F3660289      ",15,2022-04-25,0.0299240506329113924050632911,-4975.4734177215189873417721519
"B5582642      ",3,2022-04-25,0.0369141813755325623858794887,-7.8514911746804625684723067559
"F3660289      ",37,2022-04-25,-0.2107470288624787775891341256,-74.456706281833616298811544992
"B5582642      ",3,2022-04-24,0.0814492753623188405797101449,-8.362318840579710144927536232
"B5582642      ",3,2022-04-26,-0.2906804733727810650887573964,-8.786982248520710059171597633
"F3660289      ",37,2022-04-26,-0.2289713322091062394603709949,-61.482293423271500843170320405
